[16:54:52] [main/INFO]: ModLauncher running: args [--username, UGOTMAIL, --version, forge-43.2.8, --gameDir, C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5, --assetsDir, C:\Users\athac\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 4c118650628447d4ad2277ffc5ee64e3, --accessToken, ????????, --clientId, NzY0Njc5NTItMzU0MS00NWJkLWExZTktOTcwMTIyMGY2OGU5, --xuid, 2533274924334437, --userType, msa, --versionType, release, --width, 854, --height, 480, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.8, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[16:54:52] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[16:54:57] [main/INFO]: Found mod file EnderStorage-1.19.2-2.10.1.181-universal.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file engineersdecor-1.19.2-forge-1.3.28.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ensorcellation-1.19.2-4.2.0.14.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file entityculling-forge-1.6.1-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file environmental-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file EquipmentCompare-1.19.2-forge-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file everycomp-1.19.2-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file extendedflywheels-1.2.5-1.19.2-0.5.f.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file fairylights-6.0.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Fallingleaves-1.19.1-1.3.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file fancymenu_forge_2.14.7_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FarmersDelight-1.19-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file farsight-1.19.2-2.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FastFurnace-1.19.2-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FastSuite-1.19.2-4.1.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FastWorkbench-1.19.2-7.1.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FluxNetworks-1.19.2-7.1.3.12.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file forbidden_arcanus-1.19.2-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FORGE-blanced_crates1.7.2-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FpsReducer2-forge-1.19.2-2.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file FramedBlocks-6.8.3.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file goblintraders-1.8.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file guardvillagers-1.19.2-1.5.5.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file hourglass-1.19.1-1.2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file hunterillager-1.19.2-8.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Iceberg-1.19.2-forge-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ImmersiveEngineering-1.19.2-9.2.1-164.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file ImmersivePosts-1.19.2-4.3.0-6.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file incubation-1.19-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file IntegratedCrafting-1.19.2-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file IntegratedDynamics-1.19.2-1.16.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file integratednbt-1.19.2-1.6.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file IntegratedTerminals-1.19.2-1.4.6.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file IntegratedTunnels-1.19.2-1.8.18.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file invhud.forge.1.19-3.4.7.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Jade-1.19.1-forge-8.8.1.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file JadeAddons-1.19.2-forge-3.4.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file jeed-1.19.2-1.18.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1015.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file JustEnoughResources-1.19.2-1.1.0.179.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file Kiwi-1.19.1-forge-8.3.4.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file kleeslabs-forge-1.19.2-12.2.0.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file konkrete_forge_1.6.0_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file kubejs-create-forge-1902.1.1-build.35.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file kubejs-forge-1902.6.0-build.142.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file kubejs-immersive-engineering-1902.2.2-build.40.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file kubejs-mekanism-1902.1.4-build.11.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
[16:54:57] [main/INFO]: Found mod file kubejs_botania-1.0.4-fix2-forge.jar of type MOD with provider {mods folder locator at C:\Users\athac\curseforge\minecraft\Instances\Valhelsia 5\mods}
